Observation Summary
Date,01/01/2019
Session Started,14:21:54
Session Ended,14:22:05
Observer,Euisuk
School,IU
Teacher,Adam
STOMPER1,Kelli
STOMPER2,Karen
STOMPER3,
Note,

Classroom activitity
1.Classroom management,2
2.Intro to design task,2
3.Engineering/STEM Content,0
4.Hands-on Activity,0
5.Group Discussion/Q&A/Share Results,3
6.Directions/Materials,2

STOMPER1,5
Talk to class,1
Talk to individual,1
Observing,2
Handing out materials,1
Answering question,0

STOMPER2,7
Talk to class,1
Talk to individual,2
Observing,2
Handing out materials,2
Answering question,0

Interventions,0
Trading card,0
Videos (Bios about STOMPers),0
Engineering-related article/video,0
Class work example,0

Interaction,0
Engineering connection,0
Real-world connection,0
Personal engineering experience,0
Engineering passions,0
Personal connection,0
